Ticker,Name of Company,Weights,Number of Shares
AAPL,Apple Inc.,20.28%,"1,77,80,912"
MSFT,Microsoft Corporation,19.21%,"3,24,77,352"
V,Visa Inc. Class A,5.21%,"72,87,584"
MA,Mastercard Incorporated Class A,4.28%,"37,79,274"
INTC,Intel Corporation,4.01%,"1,85,18,820"
CSCO,Cisco Systems Inc.,3.15%,"1,80,60,168"
ADBE,Adobe Inc.,2.59%,"20,60,811"
CRM,salesforce.com inc.,2.51%,"37,76,154"
NVDA,NVIDIA Corporation,2.35%,"26,05,346"
PYPL,PayPal Holdings Inc,2.09%,"49,98,722"
ACN,Accenture Plc Class A,2.05%,"27,03,562"
AVGO,Broadcom Inc.,1.90%,"16,88,704"
TXN,Texas Instruments Incorporated,1.90%,"39,79,551"
IBM,International Business Machines Corporation,1.87%,"37,70,345"
ORCL,Oracle Corporation,1.85%,"92,23,094"
QCOM,QUALCOMM Incorporated,1.61%,"48,61,074"
FIS,Fidelity National Information Services Inc.,1.36%,"26,16,493"
ADP,Automatic Data Processing Inc.,1.15%,"18,42,103"
INTU,Intuit Inc.,1.10%,"11,08,156"
FISV,Fiserv Inc.,1.04%,"24,31,354"
MU,Micron Technology Inc.,0.99%,"47,12,928"
AMAT,Applied Materials Inc.,0.89%,"39,32,649"
GPN,Global Payments Inc.,0.89%,"12,79,480"
NOW,ServiceNow Inc.,0.88%,"8,02,850"
AMD,Advanced Micro Devices Inc.,0.83%,"47,40,938"
ADI,Analog Devices Inc.,0.68%,"15,67,928"
LRCX,Lam Research Corporation,0.68%,"6,17,606"
ADSK,Autodesk Inc.,0.65%,"9,36,764"
CTSH,Cognizant Technology Solutions Corporation Class A,0.52%,"23,31,086"
TEL,TE Connectivity Ltd.,0.52%,"14,23,945"
APH,Amphenol Corporation Class A,0.50%,"12,62,207"
HPQ,HP Inc.,0.49%,"63,08,773"
MSI,Motorola Solutions Inc.,0.45%,"7,29,391"
KLAC,KLA Corporation,0.43%,"6,71,762"
PAYX,Paychex Inc.,0.43%,"13,56,266"
MCHP,Microchip Technology Incorporated,0.41%,"10,17,361"
FLT,FleetCor Technologies Inc.,0.40%,"3,69,429"
XLNX,Xilinx Inc.,0.39%,"10,70,573"
GLW,Corning Inc,0.36%,"32,74,267"
ANSS,ANSYS Inc.,0.35%,"3,64,333"
SNPS,Synopsys Inc.,0.35%,"6,39,985"
VRSN,VeriSign Inc.,0.34%,"4,39,794"
SWKS,Skyworks Solutions Inc.,0.33%,"7,25,345"
CDW,CDW Corp.,0.32%,"6,11,663"
WDC,Western Digital Corporation,0.32%,"12,67,451"
CDNS,Cadence Design Systems Inc.,0.32%,"11,94,555"
HPE,Hewlett Packard Enterprise Co.,0.31%,"55,08,828"
KEYS,Keysight Technologies Inc,0.30%,"7,98,614"
MXIM,Maxim Integrated Products Inc.,0.26%,"11,52,005"
FTNT,Fortinet Inc.,0.26%,"6,04,299"
NLOK,NortonLifeLock Inc.,0.24%,"24,41,048"
AKAM,Akamai Technologies Inc.,0.24%,"6,87,297"
BR,Broadridge Financial Solutions Inc.,0.23%,"4,88,098"
NTAP,NetApp Inc.,0.23%,"9,71,575"
IT,Gartner Inc.,0.22%,"3,80,477"
CTXS,Citrix Systems Inc.,0.22%,"5,21,055"
STX,Seagate Technology PLC,0.22%,"9,83,313"
QRVO,Qorvo Inc.,0.21%,"4,94,095"
LDOS,Leidos Holdings Inc.,0.21%,"5,65,952"
ZBRA,Zebra Technologies Corporation Class A,0.21%,"2,29,520"
ANET,Arista Networks Inc.,0.18%,"2,30,700"
JKHY,Jack Henry & Associates Inc.,0.18%,"3,27,258"
WU,Western Union Company,0.17%,"17,83,162"
DXC,DXC Technology Co.,0.14%,"10,88,741"